business_unit_id,business_unit_name,location_name,department_name,respondents
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Imaging Admin 001,3
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Intensive Care Unit,53
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Labor and Delivery 001,34
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Magnetic Resonance Imaging MRI,2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Mammography 001,5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Materials Management,6
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Med Surg Unit,33
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Monitor Room 001,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Mother Baby Unit 001,15
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Neonatal ICU Unit 001,18
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Nuclear Medicine 001,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Nursing Administration,5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Observation Unit 001,7
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Other Pat Services Anc 001,4
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Pastoral Care Spiritual Care,2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Patient Access Admitting 002,5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Patient Education,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Patient Education 002,2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Physical Therapy,6
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,PositronEmissionTomography PET,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Pre Surgery,12
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Recovery Room,24
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Rehab Administration 001,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Rehab Services Ambulatory 001,1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Respiratory Care 001,8
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Sterile Processing 001,5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Surgery,40
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Surgical Services Admin 001,5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Total Quality Management,5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Ultrasound,11
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Wound Care 001,1
26016,FLPEN Sacred Heart Hosp EC,SHH PanamaCty BayMedical,Infection Control,1
