business_unit_id,location_name,department_name,respondents,dominant_ahca_wa,wa_matched_respondents
52005,ASV Southside Hospital,Cardiac Holding Recovery 001,6,5,6
52005,ASV Southside Hospital,Cardiovascular Unit 001,5,5,5
52005,ASV Southside Hospital,Case Mgmt,11,23,11
52005,ASV Southside Hospital,Computerized Tomography CT 001,1,21,1
52005,ASV Southside Hospital,Critical Care Unit 001,27,8,27
52005,ASV Southside Hospital,Diagnostic Cardiology Anc 002,3,5,3
52005,ASV Southside Hospital,Diagnostic Radiology 001,1,18,1
52005,ASV Southside Hospital,Dietary 001,1,30,1
52005,ASV Southside Hospital,Emergency Department 001,37,6,37
52005,ASV Southside Hospital,Endoscopy GI 001,10,17,10
52005,ASV Southside Hospital,Float Staffing 001,49,1,49
52005,ASV Southside Hospital,Imaging Admin 001,1,21,1
52005,ASV Southside Hospital,Interventional Radiology 001,2,21,2
52005,ASV Southside Hospital,LDRPN Unit 001,43,9,43
52005,ASV Southside Hospital,Lactation Center 001,3,9,3
52005,ASV Southside Hospital,Magnetic Resonance Imaging 001,1,21,1
52005,ASV Southside Hospital,Materials Management 001,3,3,3
52005,ASV Southside Hospital,Neonatal ICU Unit 001,16,11,16
52005,ASV Southside Hospital,Neurodiagnostic Lab 001,1,1,1
52005,ASV Southside Hospital,Nursing Administration 001,5,24,5
52005,ASV Southside Hospital,OB Triage 001,2,9,2
52005,ASV Southside Hospital,Occupational Therapy 001,7,1,7
52005,ASV Southside Hospital,Orthopedics Unit 002,7,4,7
52005,ASV Southside Hospital,Othr Specialty Nrsng Unit 006,8,2,8
52005,ASV Southside Hospital,Pastoral Spiritual Care 001,1,1,1
52005,ASV Southside Hospital,Patient Transportation 001,1,34,1
52005,ASV Southside Hospital,Pharmacy Services General 001,1,6,1
52005,ASV Southside Hospital,Physical Therapy 001,11,1,11
52005,ASV Southside Hospital,PreSurgery 001,8,18,8
52005,ASV Southside Hospital,Rapid Deployment Team 001,5,8,5
52005,ASV Southside Hospital,Recovery Rm Amb 001,22,18,22
52005,ASV Southside Hospital,Rehab Administration 001,2,14,2
52005,ASV Southside Hospital,Rehab Services General 001,10,14,10
52005,ASV Southside Hospital,Respiratory Care 001,14,1,14
52005,ASV Southside Hospital,Revenue Cycle Mgmt 002,1,21,1
52005,ASV Southside Hospital,Security 001,4,32,4
52005,ASV Southside Hospital,Speech Therapy 001,5,14,5
52005,ASV Southside Hospital,Stepdown Intermediate Care 001,12,5,12
52005,ASV Southside Hospital,Sterile Processing 001,6,34,6
52005,ASV Southside Hospital,Surgery 002,21,18,21
52005,ASV Southside Hospital,Surgical Services Admin 001,1,34,1
52005,ASV Southside Hospital,Telemetry Nursing Unit 002,9,2,9
52005,ASV Southside Hospital,Ultrasound 001,1,21,1
52005,ASV Southside Hospital,Vascular Venous Access PICC,1,1,1
52005,ASV Southside Hospital,Volunteer Services 001,2,34,2
52005,Freestanding ER Arlington,Freestanding ER Dept 001,22,6,22
52005,WV - Morgantown - Offsite,Rehab Administration 001,1,14,1
52009,ASV Riverside Hospital,Administration 005,3,24,3
52009,ASV Riverside Hospital,Anesthesiology 003,4,16,4
52009,ASV Riverside Hospital,Bariatric Support Svcs 001,1,34,1
52009,ASV Riverside Hospital,Bariatric Surgical Unit 001,8,4,8
52009,ASV Riverside Hospital,Breast Health Services 001,3,21,3
52009,ASV Riverside Hospital,CCU,19,8,19
52009,ASV Riverside Hospital,Cardiac Cath Labs Anc 001,7,34,7
52009,ASV Riverside Hospital,Cardiac Critical Care Unit,7,8,7
52009,ASV Riverside Hospital,Cardiac Holding Recovery 001,5,18,5
52009,ASV Riverside Hospital,Cardiac Nuclear Med Amb 001,2,34,2
52009,ASV Riverside Hospital,Cardiac Nuclear Med Amb 002,1,21,1
52009,ASV Riverside Hospital,Cardiac Rehabilitation Anc 001,1,34,1
52009,ASV Riverside Hospital,Cardiology Services Admin 001,2,2,2
52009,ASV Riverside Hospital,Case Mgmt,12,23,12
52009,ASV Riverside Hospital,College Programs 001,6,21,6
52009,ASV Riverside Hospital,Computerized Tomography CT 001,4,21,4
52009,ASV Riverside Hospital,Critical Care Unit 001,19,8,19
52009,ASV Riverside Hospital,Diabetes Education,2,2,2
52009,ASV Riverside Hospital,Diagnostic Cardiology Anc 001,1,18,1
52009,ASV Riverside Hospital,Diagnostic Radiology 001,8,21,8
