ascension_code,facility,item,n_answered
52015,St Vincent’s St John’s County,A8,204
52015,St Vincent’s St John’s County,A9,202
52015,St Vincent’s St John’s County,A10,203
52015,St Vincent’s St John’s County,A11,203
52015,St Vincent’s St John’s County,A12,196
52015,St Vincent’s St John’s County,A13,196
52015,St Vincent’s St John’s County,A14,202
52015,St Vincent’s St John’s County,B1,202
52015,St Vincent’s St John’s County,B2,202
52015,St Vincent’s St John’s County,B3,202
52015,St Vincent’s St John’s County,C1,193
52015,St Vincent’s St John’s County,C2,193
52015,St Vincent’s St John’s County,C3,187
52015,St Vincent’s St John’s County,C4,196
52015,St Vincent’s St John’s County,C5,165
52015,St Vincent’s St John’s County,C6,184
52015,St Vincent’s St John’s County,C7,190
52015,St Vincent’s St John’s County,D1,148
52015,St Vincent’s St John’s County,D2,148
52015,St Vincent’s St John’s County,D3,201
52015,St Vincent’s St John’s County,E1,202
52015,St Vincent’s St John’s County,F1,198
52015,St Vincent’s St John’s County,F2,197
52015,St Vincent’s St John’s County,F3,189
52015,St Vincent’s St John’s County,F4,172
52015,St Vincent’s St John’s County,F5,162
52015,St Vincent’s St John’s County,F6,163
52015,St Vincent’s St John’s County,G1,200
52015,St Vincent’s St John’s County,G2,201
52015,St Vincent’s St John’s County,G3,201
52015,St Vincent’s St John’s County,G4,201
52015,St Vincent’s St John’s County,H1,200
52015,St Vincent’s St John’s County,H2,200
