business_unit_id,business_unit_name,location_name,department_name,respondents,dominant_ahca_wa,wa_label,domain_code,wa_purity,distinct_wa_codes
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Stepdown Intermediate Care,26,34,Other,,77%,34:20 5:2 8:2 2:1 3:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Stepdown Intermediate Care 002,38,5,Unknown,CARD,47%,5:18 34:8 8:4 15:4 2:3 6:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Sterile Processing 001,16,34,Other,,63%,34:10 3:3 4:2 2:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Surgery,49,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,78%,18:38 4:4 2:4 34:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Surgery Ambulatory 001,5,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,100%,18:5
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Surgical Services Admin 001,2,34,Other,,50%,34:1 24:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Total Quality Management,7,28,"Quality, Risk Management, PAtient Safety",,100%,28:7
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Trauma Services Surgery,3,34,Other,,100%,34:3
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Ultrasound,7,21,Radiology/ Imaging,RADI,71%,21:5 1:2
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Ultrasound 003,10,21,Radiology/ Imaging,RADI,90%,21:9 9:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Utilization Mgmt 001,2,34,Other,,50%,34:1 25:1
26012,FLPEN Sacred Heart Hosp Pens,Sacred Hrt Hosp Pensacola,Vascular Access,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26012,FLPEN Sacred Heart Hosp Pens,UF OB Residency,Residency OBGYN,1,34,Other,,100%,34:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Administration,5,1,"Many Different Hospital Units, No Specific Unit",,60%,1:3 25:1 24:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Auxiliary,1,1,"Many Different Hospital Units, No Specific Unit",,100%,1:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Computerized Tomography CT,1,21,Radiology/ Imaging,RADI,100%,21:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Diagnostic Radiology,2,21,Radiology/ Imaging,RADI,100%,21:2
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Electrocardiography EKG,1,21,Radiology/ Imaging,RADI,100%,21:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Emergency Department,11,6,ED/Short Stay,EDPT,100%,6:11
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Materials Management,1,34,Other,,100%,34:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Med Surg Unit,8,2,"Med/Surg, Other Pt. Care Units",MSRG,75%,2:6 4:1 3:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Nuclear Medicine 001,1,21,Radiology/ Imaging,RADI,100%,21:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Recovery Room,2,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,100%,18:2
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Rehab Services General OP 001,2,14,Rehab/Phys Med,REHB,50%,14:1 2:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Respiratory Care 001,8,1,"Many Different Hospital Units, No Specific Unit",,63%,1:5 22:2 6:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Surgery,3,18,"Pre Op, Operating Room/Suite, PACU/Post Op, Peri Op",,67%,18:2 4:1
26013,FLPEN Sacred Heart Hosp GC,SHH Gulf,Ultrasound,1,21,Radiology/ Imaging,RADI,100%,21:1
26016,FLPEN Sacred Heart Hosp EC,FL - Santa Rosa Beach-Offsite,Other Pat Services Anc 001,1,34,Other,,100%,34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Administration,4,24,Admin/Mgmt,ADMN,75%,24:3 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Anesthesiology,1,16,Anesthesiology,,100%,16:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Auxiliary,1,34,Other,,100%,34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Cardiac Cath Lab,9,34,Other,,33%,34:3 5:3 21:2 18:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Cardiac Holding Recovery 001,6,5,Unknown,CARD,83%,5:5 18:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Cardiology Services Admin 001,2,34,Other,,50%,34:1 5:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Case Mgmt,4,23,"Social Services, Case Management, Discharge Planning",,100%,23:4
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Computerized Tomography CT,6,21,Radiology/ Imaging,RADI,100%,21:6
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Diagnostic Radiology,10,21,Radiology/ Imaging,RADI,80%,21:8 6:1 1:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Electrocardiography EKG,2,34,Other,,50%,34:1 1:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Emergency Department,27,6,ED/Short Stay,EDPT,100%,6:27
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Float Staffing 001,25,1,"Many Different Hospital Units, No Specific Unit",,76%,1:19 2:2 34:2 6:1 3:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Imaging Admin 001,3,21,Radiology/ Imaging,RADI,100%,21:3
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Intensive Care Unit,53,8,ICU(All Adult Types),ICU,92%,8:49 2:1 15:1 5:1 34:1
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Labor and Delivery 001,34,9,Labor & Deliv/Ob,,100%,9:34
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Magnetic Resonance Imaging MRI,2,21,Radiology/ Imaging,RADI,100%,21:2
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Mammography 001,5,21,Radiology/ Imaging,RADI,100%,21:5
26016,FLPEN Sacred Heart Hosp EC,SHH Emerald Coast,Materials Management,6,34,Other,,50%,34:3 1:2 18:1
